model_seed,batch_index,method,component,cosine,relative_l2,max_abs
0,0,exact,loss,1.0,0.0,0.0
0,0,exact,dLdy,0.9999999403953552,0.0,0.0
0,0,exact,belief[1],1.000065565109253,0.0,0.0
0,0,exact,belief[2],1.000001311302185,0.0,0.0
0,0,exact,belief[3],1.000001311302185,0.0,0.0
0,0,exact,belief[4],1.0000001192092896,0.0,0.0
0,0,exact,belief[5],0.9999997615814209,0.0,0.0
0,0,exact,belief[6],1.0000001192092896,0.0,0.0
0,0,exact,epsilon[1],1.0000073909759521,0.0,0.0
0,0,exact,epsilon[2],1.0,0.0,0.0
0,0,exact,epsilon[3],1.0,0.0,0.0
0,0,exact,epsilon[4],1.0,0.0,0.0
0,0,exact,epsilon[5],1.0,0.0,0.0
0,0,exact,epsilon[6],0.9999999403953552,0.0,0.0
0,0,exact,gradient:0.0.bias,1.0000001192092896,0.0,0.0
0,0,exact,gradient:0.0.weight,0.9999998807907104,0.0,0.0
0,0,exact,gradient:1.0.bias,1.0,0.0,0.0
0,0,exact,gradient:1.0.weight,1.0000001192092896,0.0,0.0
0,0,exact,gradient:3.0.bias,1.0,0.0,0.0
0,0,exact,gradient:3.0.weight,1.0000008344650269,0.0,0.0
0,0,exact,gradient:4.0.bias,0.9999998807907104,0.0,0.0
0,0,exact,gradient:4.0.weight,1.0000003576278687,0.0,0.0
0,0,exact,gradient:5.bias,1.0,0.0,0.0
0,0,exact,gradient:5.weight,1.0,0.0,0.0
0,0,fixedpred,loss,1.0,0.0,0.0
0,0,fixedpred,dLdy,0.9999999403953552,0.0,0.0
0,0,fixedpred,belief[0],1.0000048875808716,0.0,0.0
0,0,fixedpred,belief[1],1.0000585317611694,0.0,0.0
0,0,fixedpred,belief[2],1.0000009536743164,0.0,0.0
0,0,fixedpred,belief[3],1.000001311302185,0.0,0.0
0,0,fixedpred,belief[4],0.9999997615814209,0.0,0.0
0,0,fixedpred,belief[5],0.9999997615814209,0.0,0.0
0,0,fixedpred,belief[6],1.0000001192092896,0.0,0.0
0,0,fixedpred,epsilon[0],1.0000052452087402,0.0,0.0
0,0,fixedpred,epsilon[1],1.0000001192092896,0.0,0.0
0,0,fixedpred,epsilon[2],1.0000131130218506,0.0,0.0
0,0,fixedpred,epsilon[3],0.9999948740005493,0.0,0.0
0,0,fixedpred,epsilon[4],0.9999985098838806,0.0,0.0
0,0,fixedpred,epsilon[5],1.0000001192092896,0.0,0.0
0,0,fixedpred,epsilon[6],0.9999999403953552,0.0,0.0
0,0,fixedpred,gradient:0.0.bias,1.0000001192092896,0.0,0.0
0,0,fixedpred,gradient:0.0.weight,1.0,0.0,0.0
0,0,fixedpred,gradient:1.0.bias,1.0,0.0,0.0
0,0,fixedpred,gradient:1.0.weight,1.0,0.0,0.0
0,0,fixedpred,gradient:3.0.bias,1.0000001192092896,0.0,0.0
0,0,fixedpred,gradient:3.0.weight,1.0000004768371582,0.0,0.0
0,0,fixedpred,gradient:4.0.bias,1.0000001192092896,0.0,0.0
0,0,fixedpred,gradient:4.0.weight,1.000000238418579,0.0,0.0
0,0,fixedpred,gradient:5.bias,1.0,0.0,0.0
0,0,fixedpred,gradient:5.weight,1.0,0.0,0.0
0,0,strict,loss,1.0,0.0,0.0
0,0,strict,dLdy,0.9999999403953552,0.0,0.0
0,0,strict,belief[0],1.0000048875808716,0.0,0.0
0,0,strict,belief[1],1.0000585317611694,0.0,0.0
0,0,strict,belief[2],1.0000008344650269,0.0,0.0
0,0,strict,belief[3],1.0000011920928955,0.0,0.0
0,0,strict,belief[4],0.9999998211860657,0.0,0.0
0,0,strict,belief[5],1.0000001192092896,0.0,0.0
0,0,strict,belief[6],1.0000001192092896,0.0,0.0
0,0,strict,epsilon[1],1.000000238418579,0.0,0.0
0,0,strict,epsilon[2],1.0000227689743042,0.0,0.0
0,0,strict,epsilon[3],1.0000015497207642,0.0,0.0
0,0,strict,epsilon[4],0.9999991655349731,0.0,0.0
0,0,strict,epsilon[5],0.9999997019767761,0.0,0.0
0,0,strict,epsilon[6],0.9999999403953552,0.0,0.0
0,0,strict,gradient:0.0.bias,0.9999999403953552,0.0,0.0
0,0,strict,gradient:0.0.weight,1.0,0.0,0.0
0,0,strict,gradient:1.0.bias,0.9999999403953552,0.0,0.0
0,0,strict,gradient:1.0.weight,1.0,0.0,0.0
0,0,strict,gradient:3.0.bias,1.0,0.0,0.0
0,0,strict,gradient:3.0.weight,0.9999997019767761,0.0,0.0
0,0,strict,gradient:4.0.bias,1.0000001192092896,0.0,0.0
0,0,strict,gradient:4.0.weight,1.0000001192092896,0.0,0.0
0,0,strict,gradient:5.bias,1.0000001192092896,0.0,0.0
0,0,strict,gradient:5.weight,0.9999999403953552,0.0,0.0
1,0,exact,loss,1.0,0.0,0.0
1,0,exact,dLdy,0.9999998807907104,0.0,0.0
1,0,exact,belief[1],1.000036358833313,0.0,0.0
1,0,exact,belief[2],1.0000005960464478,0.0,0.0
1,0,exact,belief[3],1.0000005960464478,0.0,0.0
1,0,exact,belief[4],1.0000005960464478,0.0,0.0
1,0,exact,belief[5],1.0000001192092896,0.0,0.0
1,0,exact,belief[6],0.9999998211860657,0.0,0.0
1,0,exact,epsilon[1],1.000003457069397,0.0,0.0
1,0,exact,epsilon[2],1.000000238418579,0.0,0.0
1,0,exact,epsilon[3],1.000000238418579,0.0,0.0
1,0,exact,epsilon[4],0.9999999403953552,0.0,0.0
1,0,exact,epsilon[5],0.9999997019767761,0.0,0.0
1,0,exact,epsilon[6],0.9999998807907104,0.0,0.0
1,0,exact,gradient:0.0.bias,0.9999999403953552,0.0,0.0
1,0,exact,gradient:0.0.weight,1.0,0.0,0.0
1,0,exact,gradient:1.0.bias,1.0,0.0,0.0
1,0,exact,gradient:1.0.weight,1.0,0.0,0.0
1,0,exact,gradient:3.0.bias,0.9999998807907104,0.0,0.0
1,0,exact,gradient:3.0.weight,1.0000001192092896,0.0,0.0
1,0,exact,gradient:4.0.bias,1.0,0.0,0.0
1,0,exact,gradient:4.0.weight,0.9999998807907104,0.0,0.0
1,0,exact,gradient:5.bias,0.9999998807907104,0.0,0.0
1,0,exact,gradient:5.weight,1.0000001192092896,0.0,0.0
1,0,fixedpred,loss,1.0,0.0,0.0
1,0,fixedpred,dLdy,0.9999998807907104,0.0,0.0
1,0,fixedpred,belief[0],1.0000048875808716,0.0,0.0
1,0,fixedpred,belief[1],1.000006914138794,0.0,0.0
1,0,fixedpred,belief[2],1.000001311302185,0.0,0.0
1,0,fixedpred,belief[3],1.0000016689300537,0.0,0.0
1,0,fixedpred,belief[4],1.0000004768371582,0.0,0.0
1,0,fixedpred,belief[5],1.000000238418579,0.0,0.0
1,0,fixedpred,belief[6],0.9999998211860657,0.0,0.0
1,0,fixedpred,epsilon[0],1.0000075101852417,0.0,0.0
1,0,fixedpred,epsilon[1],1.0000008344650269,0.0,0.0
1,0,fixedpred,epsilon[2],1.0000176429748535,0.0,0.0
1,0,fixedpred,epsilon[3],0.9999914169311523,0.0,0.0
1,0,fixedpred,epsilon[4],0.9999995827674866,0.0,0.0
1,0,fixedpred,epsilon[5],0.9999999403953552,0.0,0.0
1,0,fixedpred,epsilon[6],0.9999998807907104,0.0,0.0
1,0,fixedpred,gradient:0.0.bias,1.0,0.0,0.0
1,0,fixedpred,gradient:0.0.weight,0.9999999403953552,0.0,0.0
1,0,fixedpred,gradient:1.0.bias,0.9999998807907104,0.0,0.0
1,0,fixedpred,gradient:1.0.weight,0.9999998211860657,0.0,0.0
1,0,fixedpred,gradient:3.0.bias,0.9999999403953552,0.0,0.0
1,0,fixedpred,gradient:3.0.weight,1.0,0.0,0.0
1,0,fixedpred,gradient:4.0.bias,0.9999999403953552,0.0,0.0
1,0,fixedpred,gradient:4.0.weight,1.000000238418579,0.0,0.0
1,0,fixedpred,gradient:5.bias,0.9999998807907104,0.0,0.0
1,0,fixedpred,gradient:5.weight,1.0000001192092896,0.0,0.0
1,0,strict,loss,1.0,0.0,0.0
1,0,strict,dLdy,0.9999998807907104,0.0,0.0
1,0,strict,belief[0],1.0000048875808716,0.0,0.0
1,0,strict,belief[1],1.000006914138794,0.0,0.0
1,0,strict,belief[2],1.000001311302185,0.0,0.0
1,0,strict,belief[3],1.0000015497207642,0.0,0.0
1,0,strict,belief[4],1.0000003576278687,0.0,0.0
1,0,strict,belief[5],1.0000007152557373,0.0,0.0
1,0,strict,belief[6],0.9999998211860657,0.0,0.0
1,0,strict,epsilon[1],1.0000009536743164,0.0,0.0
1,0,strict,epsilon[2],1.0000213384628296,0.0,0.0
1,0,strict,epsilon[3],0.9999983906745911,0.0,0.0
1,0,strict,epsilon[4],0.999999463558197,0.0,0.0
1,0,strict,epsilon[5],0.999999463558197,0.0,0.0
1,0,strict,epsilon[6],0.9999999403953552,0.0,0.0
1,0,strict,gradient:0.0.bias,1.0000001192092896,0.0,0.0
1,0,strict,gradient:0.0.weight,1.0,0.0,0.0
1,0,strict,gradient:1.0.bias,1.0000001192092896,0.0,0.0
1,0,strict,gradient:1.0.weight,1.0,0.0,0.0
1,0,strict,gradient:3.0.bias,1.0,0.0,0.0
1,0,strict,gradient:3.0.weight,1.000000238418579,0.0,0.0
1,0,strict,gradient:4.0.bias,1.0,0.0,0.0
1,0,strict,gradient:4.0.weight,0.9999996423721313,0.0,0.0
1,0,strict,gradient:5.bias,1.0000001192092896,0.0,0.0
1,0,strict,gradient:5.weight,0.9999998807907104,0.0,0.0
2,0,exact,loss,1.0,0.0,0.0
2,0,exact,dLdy,1.0000001192092896,0.0,0.0
2,0,exact,belief[1],1.000054121017456,0.0,0.0
2,0,exact,belief[2],1.0000004768371582,0.0,0.0
2,0,exact,belief[3],1.0000004768371582,0.0,0.0
2,0,exact,belief[4],0.9999999403953552,0.0,0.0
2,0,exact,belief[5],1.000000238418579,0.0,0.0
2,0,exact,belief[6],1.0,0.0,0.0
2,0,exact,epsilon[1],1.0000051259994507,0.0,0.0
2,0,exact,epsilon[2],1.0000011920928955,0.0,0.0
2,0,exact,epsilon[3],1.0000011920928955,0.0,0.0
2,0,exact,epsilon[4],1.0000005960464478,0.0,0.0
2,0,exact,epsilon[5],1.0000001192092896,0.0,0.0
2,0,exact,epsilon[6],1.0000001192092896,0.0,0.0
2,0,exact,gradient:0.0.bias,1.0,0.0,0.0
2,0,exact,gradient:0.0.weight,0.9999998211860657,0.0,0.0
2,0,exact,gradient:1.0.bias,1.0000001192092896,0.0,0.0
2,0,exact,gradient:1.0.weight,1.0,0.0,0.0
2,0,exact,gradient:3.0.bias,0.9999998807907104,0.0,0.0
2,0,exact,gradient:3.0.weight,1.0000016689300537,0.0,0.0
2,0,exact,gradient:4.0.bias,1.0000001192092896,0.0,0.0
2,0,exact,gradient:4.0.weight,1.0000001192092896,0.0,0.0
2,0,exact,gradient:5.bias,1.0,0.0,0.0
2,0,exact,gradient:5.weight,1.0,0.0,0.0
2,0,fixedpred,loss,1.0,0.0,0.0
2,0,fixedpred,dLdy,1.0000001192092896,0.0,0.0
2,0,fixedpred,belief[0],1.0000048875808716,0.0,0.0
2,0,fixedpred,belief[1],1.0000534057617188,0.0,0.0
2,0,fixedpred,belief[2],1.0000015497207642,0.0,0.0
2,0,fixedpred,belief[3],1.0000011920928955,0.0,0.0
2,0,fixedpred,belief[4],1.0000001192092896,0.0,0.0
2,0,fixedpred,belief[5],1.0000001192092896,0.0,0.0
2,0,fixedpred,belief[6],0.9999998807907104,0.0,0.0
2,0,fixedpred,epsilon[0],1.0000059604644775,0.0,0.0
2,0,fixedpred,epsilon[1],1.0000230073928833,0.0,0.0
2,0,fixedpred,epsilon[2],1.0000196695327759,0.0,0.0
2,0,fixedpred,epsilon[3],0.9999905228614807,0.0,0.0
2,0,fixedpred,epsilon[4],0.9999992251396179,0.0,0.0
2,0,fixedpred,epsilon[5],0.9999998807907104,0.0,0.0
2,0,fixedpred,epsilon[6],1.0000001192092896,0.0,0.0
2,0,fixedpred,gradient:0.0.bias,1.0000001192092896,0.0,0.0
2,0,fixedpred,gradient:0.0.weight,1.0000001192092896,0.0,0.0
2,0,fixedpred,gradient:1.0.bias,1.0000001192092896,0.0,0.0
2,0,fixedpred,gradient:1.0.weight,1.0,0.0,0.0
2,0,fixedpred,gradient:3.0.bias,1.0000001192092896,0.0,0.0
2,0,fixedpred,gradient:3.0.weight,1.0000003576278687,0.0,0.0
2,0,fixedpred,gradient:4.0.bias,0.9999998211860657,0.0,0.0
2,0,fixedpred,gradient:4.0.weight,1.0000001192092896,0.0,0.0
2,0,fixedpred,gradient:5.bias,1.0,0.0,0.0
2,0,fixedpred,gradient:5.weight,1.0,0.0,0.0
2,0,strict,loss,1.0,0.0,0.0
2,0,strict,dLdy,1.0000001192092896,0.0,0.0
2,0,strict,belief[0],1.0000048875808716,0.0,0.0
2,0,strict,belief[1],1.0000534057617188,0.0,0.0
2,0,strict,belief[2],1.0000014305114746,0.0,0.0
2,0,strict,belief[3],1.0000009536743164,0.0,0.0
2,0,strict,belief[4],1.000000238418579,0.0,0.0
2,0,strict,belief[5],0.9999998807907104,0.0,0.0
2,0,strict,belief[6],0.9999998807907104,0.0,0.0
2,0,strict,epsilon[1],1.0000178813934326,0.0,0.0
2,0,strict,epsilon[2],1.000023365020752,0.0,0.0
2,0,strict,epsilon[3],0.9999954104423523,0.0,0.0
2,0,strict,epsilon[4],1.0,0.0,0.0
2,0,strict,epsilon[5],0.9999999403953552,0.0,0.0
2,0,strict,epsilon[6],1.0000001192092896,0.0,0.0
2,0,strict,gradient:0.0.bias,1.0,0.0,0.0
2,0,strict,gradient:0.0.weight,1.0,0.0,0.0
2,0,strict,gradient:1.0.bias,0.9999998211860657,0.0,0.0
2,0,strict,gradient:1.0.weight,0.9999999403953552,0.0,0.0
2,0,strict,gradient:3.0.bias,1.0,0.0,0.0
2,0,strict,gradient:3.0.weight,1.0,0.0,0.0
2,0,strict,gradient:4.0.bias,1.0,0.0,0.0
2,0,strict,gradient:4.0.weight,1.000000238418579,0.0,0.0
2,0,strict,gradient:5.bias,0.9999998211860657,0.0,0.0
2,0,strict,gradient:5.weight,1.0000001192092896,0.0,0.0
