candidate_id,method,depth,width,batch_size,model_seed_count,primary_host_time_median_us,primary_device_time_median_us,primary_peak_allocated_median_bytes,primary_peak_reserved_median_bytes,observer_cost_median_ms,saved_tensor_bytes_median,state_vjp_calls_median,graph_span_max,dependency_radius_max
composite_vjp,fixedpred,16,256,256,3,38315.142,38318.227767944336,4972189184.0,5337251840.0,10.699991226196289,152539140.0,10.0,16,1
composite_vjp,fixedpred,16,256,64,3,38406.517,38410.28022766113,3710063616.0,3810525184.0,10.478181838989258,74518020.0,10.0,16,1
composite_vjp,fixedpred,16,64,256,3,38652.804000000004,38654.104232788086,1089737216.0,1119879168.0,10.61917495727539,37807620.0,10.0,16,1
composite_vjp,fixedpred,16,64,64,3,38128.917,38136.07597351074,612363776.0,618659840.0,10.866546630859375,12870660.0,10.0,16,1
composite_vjp,fixedpred,32,256,256,3,74009.197,74010.86807250977,9408648704.0,9835642880.0,14.0531005859375,299339780.0,10.0,32,1
composite_vjp,fixedpred,32,256,64,3,74630.2615,74638.17977905273,7030854656.0,7163871232.0,13.960395812988281,145821188.0,10.0,32,1
composite_vjp,fixedpred,32,64,256,3,74772.55799999999,74777.54211425781,1651216896.0,1681915904.0,13.279308319091797,65857028.0,10.0,32,1
composite_vjp,fixedpred,32,64,64,3,74466.2995,74470.39794921875,894660096.0,901775360.0,14.492290496826172,22045700.0,10.0,32,1
composite_vjp,fixedpred,4,256,256,3,11654.0775,11659.30700302124,1651307008.0,1868562432.0,8.708754539489746,42438660.0,10.0,4,1
composite_vjp,fixedpred,4,256,64,3,11469.779999999999,11472.335815429688,1221319168.0,1270874112.0,8.274809837341309,21040644.0,10.0,4,1
composite_vjp,fixedpred,4,64,256,3,11524.7675,11526.262283325195,672699904.0,702545920.0,8.326748847961426,16770564.0,10.0,4,1
composite_vjp,fixedpred,4,64,64,3,11474.486499999999,11474.225521087646,401669632.0,404750336.0,8.269968509674072,5989380.0,10.0,4,1
composite_vjp,fixedpred,8,256,256,3,20706.371,20710.3328704834,2753959424.0,3036676096.0,9.315145492553711,79138820.0,10.0,8,1
composite_vjp,fixedpred,8,256,64,3,20671.953,20678.072929382324,2049668096.0,2128609280.0,8.991312026977539,38866436.0,10.0,8,1
composite_vjp,fixedpred,8,64,256,3,20796.229,20796.981811523438,808997376.0,843055104.0,9.110807418823242,23782916.0,10.0,8,1
composite_vjp,fixedpred,8,64,64,3,20217.9575,20219.508171081543,471215616.0,476053504.0,9.082381248474121,8283140.0,10.0,8,1
composite_vjp,strict,16,256,256,3,95575.551,95580.0552368164,4968179712.0,5240782848.0,19.209171295166016,252584020.0,20.0,15,1
composite_vjp,strict,16,256,64,3,94729.7355,94736.46545410156,3709865472.0,3804233728.0,19.240966796875,121263700.0,20.0,15,1
composite_vjp,strict,16,64,256,3,96520.48499999999,96523.30017089844,1085137920.0,1117782016.0,18.84040069580078,50254420.0,20.0,15,1
composite_vjp,strict,16,64,64,3,94163.111,94166.0041809082,611214336.0,616562688.0,19.371601104736328,16255060.0,20.0,15,1
composite_vjp,strict,32,256,256,3,187283.1275,187288.29956054688,9404639232.0,9701425152.0,25.00965118408203,525213780.0,20.0,31,1
composite_vjp,strict,32,256,64,3,185252.79200000002,185254.55474853516,7030656512.0,7161774080.0,24.435760498046875,255481428.0,20.0,31,1
composite_vjp,strict,32,64,256,3,186563.41700000002,186564.7430419922,1646617600.0,1679818752.0,23.996917724609375,101896788.0,20.0,31,1
composite_vjp,strict,32,64,64,3,186616.76,186619.6060180664,893510656.0,899678208.0,24.864181518554688,33294420.0,20.0,31,1
composite_vjp,strict,4,256,256,3,27706.3835,27709.413528442383,1643273728.0,1855979520.0,14.602934837341309,48111700.0,20.0,3,1
composite_vjp,strict,4,256,64,3,27300.778,27307.111740112305,1219898368.0,1268776960.0,14.512121200561523,20600404.0,20.0,3,1
composite_vjp,strict,4,64,256,3,26663.306,26664.1206741333,665271808.0,694157312.0,14.294095993041992,11522644.0,20.0,3,1
composite_vjp,strict,4,64,64,3,27135.7895,27136.871337890625,400173056.0,404750336.0,14.537428855895996,3475540.0,20.0,3,1
composite_vjp,strict,8,256,256,3,49966.957,49971.71592712402,2749949952.0,3003121664.0,15.853317260742188,116269140.0,20.0,7,1
composite_vjp,strict,8,256,64,3,49457.611999999994,49460.7048034668,2049469952.0,2128609280.0,16.292686462402344,54154836.0,20.0,7,1
composite_vjp,strict,8,64,256,3,50071.991500000004,50073.280334472656,804398080.0,836763648.0,15.695137023925781,24433236.0,20.0,7,1
composite_vjp,strict,8,64,64,3,49082.2495,49083.76884460449,470066176.0,473956352.0,16.182119369506836,7735380.0,20.0,7,1
isolated_layer_vjp,fixedpred,16,256,256,3,58038.0705,58041.770935058594,4962446848.0,5324668928.0,86.45221900939941,152539140.0,160.0,1,1
isolated_layer_vjp,fixedpred,16,256,64,3,57354.679,57358.306884765625,3710063616.0,3806330880.0,85.7405948638916,74518020.0,160.0,1,1
isolated_layer_vjp,fixedpred,16,64,256,3,57192.945999999996,57195.64247131348,1086089728.0,1119879168.0,86.0821647644043,37807620.0,160.0,1,1
isolated_layer_vjp,fixedpred,16,64,64,3,57294.7835,57298.166275024414,611451904.0,618659840.0,87.37110328674316,12870660.0,160.0,1,1
isolated_layer_vjp,fixedpred,32,256,256,3,114454.22750000001,114456.40563964844,9390517760.0,9841934336.0,172.1995620727539,299339780.0,320.0,1,1
isolated_layer_vjp,fixedpred,32,256,64,3,113572.2625,113578.7239074707,7030854656.0,7149191168.0,169.0194549560547,145821188.0,320.0,1,1
isolated_layer_vjp,fixedpred,32,64,256,3,113166.063,113170.76873779297,1645472256.0,1681915904.0,173.8555450439453,65857028.0,320.0,1,1
isolated_layer_vjp,fixedpred,32,64,64,3,113695.485,113698.95553588867,893223936.0,901775360.0,173.11185455322266,22045700.0,320.0,1,1
isolated_layer_vjp,fixedpred,4,256,256,3,15199.408500000001,15204.208850860596,1644624896.0,1862270976.0,23.458370685577393,42438660.0,40.0,1,1
isolated_layer_vjp,fixedpred,4,256,64,3,14940.364000000001,14955.2001953125,1220294656.0,1268776960.0,22.92933416366577,21040644.0,40.0,1,1
isolated_layer_vjp,fixedpred,4,64,256,3,15021.2455,15022.26209640503,668589056.0,696254464.0,23.08113145828247,16770564.0,40.0,1,1
isolated_layer_vjp,fixedpred,4,64,64,3,14964.607,14965.916156768799,400636928.0,404750336.0,22.888322830200195,5989380.0,40.0,1,1
isolated_layer_vjp,fixedpred,8,256,256,3,28723.2465,28728.435516357422,2748411392.0,3021996032.0,44.75996685028076,79138820.0,80.0,1,1
isolated_layer_vjp,fixedpred,8,256,64,3,28428.3455,28434.929847717285,2049668096.0,2126512128.0,44.48139476776123,38866436.0,80.0,1,1
isolated_layer_vjp,fixedpred,8,64,256,3,29477.5285,29478.68537902832,806398464.0,838860800.0,44.66458606719971,23782916.0,80.0,1,1
isolated_layer_vjp,fixedpred,8,64,64,3,28901.110500000003,28902.602195739746,470565888.0,476053504.0,45.075857162475586,8283140.0,80.0,1,1
isolated_layer_vjp,strict,16,256,256,3,133176.9145,133179.3670654297,4960567296.0,5295308800.0,174.74905395507812,252584020.0,300.0,1,1
isolated_layer_vjp,strict,16,256,64,3,132417.856,132425.16326904297,3709865472.0,3806330880.0,179.80931854248047,121263700.0,300.0,1,1
isolated_layer_vjp,strict,16,64,256,3,132205.52850000001,132208.42742919922,1083227136.0,1117782016.0,183.2301254272461,50254420.0,300.0,1,1
isolated_layer_vjp,strict,16,64,64,3,131986.72,131990.2572631836,610876416.0,616562688.0,183.2221221923828,16255060.0,300.0,1,1
isolated_layer_vjp,strict,32,256,256,3,271212.8365,271215.3625488281,9388638208.0,9808379904.0,360.9438934326172,525213780.0,620.0,1,1
isolated_layer_vjp,strict,32,256,64,3,271252.625,271256.1950683594,7030656512.0,7155482624.0,354.26393127441406,255481428.0,620.0,1,1
isolated_layer_vjp,strict,32,64,256,3,270097.8105,270100.20446777344,1642609664.0,1679818752.0,354.19329833984375,101896788.0,620.0,1,1
isolated_layer_vjp,strict,32,64,64,3,265223.149,265225.09765625,892656640.0,899678208.0,338.6067199707031,33294420.0,620.0,1,1
isolated_layer_vjp,strict,4,256,256,3,31377.504999999997,31380.861282348633,1641952768.0,1858076672.0,36.593262672424316,48111700.0,60.0,1,1
isolated_layer_vjp,strict,4,256,64,3,31459.63,31463.53244781494,1223582208.0,1272971264.0,37.381529808044434,20600404.0,60.0,1,1
isolated_layer_vjp,strict,4,64,256,3,31355.447,31357.084274291992,667646976.0,696254464.0,37.43575096130371,11522644.0,60.0,1,1
isolated_layer_vjp,strict,4,64,64,3,31087.038,31097.402572631836,399857152.0,404750336.0,38.1662712097168,3475540.0,60.0,1,1
isolated_layer_vjp,strict,8,256,256,3,65490.5465,65497.89047241211,2746531840.0,3032481792.0,83.00533676147461,116269140.0,140.0,1,1
isolated_layer_vjp,strict,8,256,64,3,65594.79699999999,65600.65460205078,2049469952.0,2128609280.0,84.26248931884766,54154836.0,140.0,1,1
isolated_layer_vjp,strict,8,64,256,3,65660.339,65662.18566894531,803535872.0,834666496.0,85.62186431884766,24433236.0,140.0,1,1
isolated_layer_vjp,strict,8,64,64,3,65025.034,65032.65380859375,469986304.0,473956352.0,86.4489517211914,7735380.0,140.0,1,1
stage2_baseline,fixedpred,16,256,256,3,34726.0545,34730.03005981445,4963259904.0,5337251840.0,78.92582893371582,34187268.0,160.0,1,1
stage2_baseline,fixedpred,16,256,64,3,35198.134999999995,35205.56831359863,3710063616.0,3810525184.0,79.04174041748047,14669316.0,160.0,1,1
stage2_baseline,fixedpred,16,64,256,3,34520.7895,34522.60208129883,1086902784.0,1119879168.0,80.27572631835938,8993796.0,160.0,1,1
stage2_baseline,fixedpred,16,64,64,3,34398.3805,34401.96990966797,611655168.0,618659840.0,80.5417366027832,2746884.0,160.0,1,1
stage2_baseline,fixedpred,32,256,256,3,67691.7235,67693.83239746094,9391330816.0,9900654592.0,157.59388732910156,67741700.0,320.0,1,1
stage2_baseline,fixedpred,32,256,64,3,69162.11,69171.87118530273,7030854656.0,7161774080.0,157.4587287902832,29349380.0,320.0,1,1
stage2_baseline,fixedpred,32,64,256,3,68278.208,68282.91702270508,1646285312.0,1679818752.0,158.9009132385254,15809540.0,320.0,1,1
stage2_baseline,fixedpred,32,64,64,3,68920.3195,68924.4155883789,893427200.0,903872512.0,159.14364624023438,4844036.0,320.0,1,1
stage2_baseline,fixedpred,4,256,256,3,9581.923999999999,9586.883068084717,1645437952.0,1855979520.0,21.48021936416626,9021444.0,40.0,1,1
stage2_baseline,fixedpred,4,256,64,3,9465.4045,9470.725059509277,1220294656.0,1268776960.0,21.745452404022217,3659268.0,40.0,1,1
stage2_baseline,fixedpred,4,64,256,3,9442.713,9443.360805511475,669402112.0,696254464.0,21.76802635192871,3881988.0,40.0,1,1
stage2_baseline,fixedpred,4,64,64,3,9605.924,9607.16199874878,400840192.0,404750336.0,21.651191234588623,1174020.0,40.0,1,1
stage2_baseline,fixedpred,8,256,256,3,17457.455,17464.68162536621,2749224448.0,3011510272.0,41.26039218902588,17410052.0,80.0,1,1
stage2_baseline,fixedpred,8,256,64,3,17839.1035,17842.429161071777,2049668096.0,2126512128.0,41.0928955078125,7329284.0,80.0,1,1
stage2_baseline,fixedpred,8,64,256,3,18058.315000000002,18059.255599975586,807211520.0,836763648.0,41.66775417327881,5585924.0,80.0,1,1
stage2_baseline,fixedpred,8,64,64,3,18130.078999999998,18131.437301635742,470769152.0,476053504.0,41.26688766479492,1698308.0,80.0,1,1
stage2_baseline,strict,16,256,256,3,100583.473,100587.27645874023,6869313024.0,7174356992.0,163.41715621948242,247136340.0,300.0,1,1
stage2_baseline,strict,16,256,64,3,100753.3755,100760.12802124023,4192680448.0,4280287232.0,182.65575790405273,119748180.0,300.0,1,1
stage2_baseline,strict,16,64,256,3,100514.5315,100517.49038696289,1614288384.0,1650458624.0,184.9754409790039,48892500.0,300.0,1,1
stage2_baseline,strict,16,64,64,3,99503.56450000001,99518.76068115234,745249792.0,750780416.0,184.52348709106445,15876180.0,300.0,1,1
stage2_baseline,strict,32,256,256,3,204685.644,204690.8950805664,11297383936.0,11630804992.0,367.48072814941406,519766100.0,620.0,1,1
stage2_baseline,strict,32,256,64,3,206055.49300000002,206090.61431884766,7513471488.0,7623147520.0,349.66094970703125,253965908.0,620.0,1,1
stage2_baseline,strict,32,64,256,3,201022.95150000002,201026.31378173828,2173670912.0,2212495360.0,368.1902542114258,100534868.0,620.0,1,1
stage2_baseline,strict,32,64,64,3,198160.195,198163.24615478516,1027030016.0,1033895936.0,328.68988037109375,32915540.0,620.0,1,1
stage2_baseline,strict,4,256,256,3,24643.805,24658.398628234863,3550676992.0,3844079616.0,36.7832727432251,42664020.0,60.0,1,1
stage2_baseline,strict,4,256,64,3,24753.1005,24755.741119384766,1702691840.0,1751121920.0,36.87151908874512,19084884.0,60.0,1,1
stage2_baseline,strict,4,64,256,3,24863.705,24864.490509033203,1195988992.0,1228931072.0,37.709909439086914,10160724.0,60.0,1,1
stage2_baseline,strict,4,64,64,3,24698.9935,24700.737953186035,534224384.0,538968064.0,39.718546867370605,3096660.0,60.0,1,1
stage2_baseline,strict,8,256,256,3,49923.193499999994,49926.46026611328,4655277568.0,4936695808.0,85.74719619750977,110821460.0,140.0,1,1
stage2_baseline,strict,8,256,64,3,50254.7475,50261.32392883301,2532284928.0,2613051392.0,87.20570373535156,52639316.0,140.0,1,1
stage2_baseline,strict,8,64,256,3,50606.9825,50609.06982421875,1334597120.0,1371537408.0,83.44466781616211,23071316.0,140.0,1,1
stage2_baseline,strict,8,64,64,3,49332.706999999995,49334.86747741699,604359680.0,608174080.0,78.7211971282959,7356500.0,140.0,1,1
