domain,dataset,model,checkpoint_label,model_seed,method,metric,n_layers,n_valid_layers,n_missing_layers,depth_min,depth_max,value_min,value_max,spearman_rho,linear_slope
gradient,FashionMNIST,lenet_classic,final,0,exact,cosine,5,5,0,0,1,0.99999999999998646,1,-0.10259783520851541,-3.1086244689504381e-16
gradient,FashionMNIST,lenet_classic,final,0,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,0,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,0,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,0,fixedpred,cosine,5,5,0,0,1,0.99054681610295525,1,0.99999999999999989,0.0075867056480288571
gradient,FashionMNIST,lenet_classic,final,0,fixedpred,norm_ratio,5,5,0,0,1,0.00087981865809189997,1,0.99999999999999989,1.0409965176020157
gradient,FashionMNIST,lenet_classic,final,0,fixedpred,relative_l2,5,5,0,0,1,0,0.99912899332729921,-0.99999999999999989,-1.0410037388148676
gradient,FashionMNIST,lenet_classic,final,0,fixedpred,sign_agreement,5,5,0,0,1,0.94358974358974357,1,0.8999999999999998,0.04660578734931535
gradient,FashionMNIST,lenet_classic,final,0,strict,cosine,5,5,0,0,1,0.83477336098161314,0.99999842030904795,0.69999999999999996,0.1462148114710228
gradient,FashionMNIST,lenet_classic,final,0,strict,norm_ratio,5,5,0,0,1,0.00060543441449839998,0.99836506871440645,0.99999999999999989,0.92432480584805854
gradient,FashionMNIST,lenet_classic,final,0,strict,relative_l2,5,5,0,0,1,0.0023893265946320998,0.99949428229152515,-0.99999999999999989,-0.90997974244767155
gradient,FashionMNIST,lenet_classic,final,0,strict,sign_agreement,5,5,0,0,1,0.78717948717948705,1,0.8999999999999998,0.1800395039437786
gradient,FashionMNIST,lenet_classic,final,1,exact,cosine,5,5,0,0,1,0.99999999999998956,1,-0.10259783520851541,-7.9936057773011273e-16
gradient,FashionMNIST,lenet_classic,final,1,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,1,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,1,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,1,fixedpred,cosine,5,5,0,0,1,0.99636276013900416,1,0.99999999999999989,0.0029294165016905183
gradient,FashionMNIST,lenet_classic,final,1,fixedpred,norm_ratio,5,5,0,0,1,0.00089305276086730002,1,0.99999999999999989,1.0409902980434764
gradient,FashionMNIST,lenet_classic,final,1,fixedpred,relative_l2,5,5,0,0,1,0,0.99911022416983841,-0.99999999999999989,-1.0409930627529871
gradient,FashionMNIST,lenet_classic,final,1,fixedpred,sign_agreement,5,5,0,0,1,0.97948717948717956,1,0.99999999999999989,0.017695405136705665
gradient,FashionMNIST,lenet_classic,final,1,strict,cosine,5,5,0,0,1,0.86488658678301,0.99999879176892159,0.59999999999999998,0.08428147584239136
gradient,FashionMNIST,lenet_classic,final,1,strict,norm_ratio,5,5,0,0,1,0.00064200052285819998,0.99849600120755244,0.99999999999999989,0.92088111810759565
gradient,FashionMNIST,lenet_classic,final,1,strict,relative_l2,5,5,0,0,1,0.0021690862416009001,0.99941275360284165,-0.99999999999999989,-0.90864661169549854
gradient,FashionMNIST,lenet_classic,final,1,strict,sign_agreement,5,5,0,0,1,0.82836658354114712,0.999529411764706,0.69999999999999996,0.12000895374059679
gradient,FashionMNIST,lenet_classic,final,2,exact,cosine,5,5,0,0,1,0.99999999999998901,1,-0.22360679774997894,-6.2172489379008762e-16
gradient,FashionMNIST,lenet_classic,final,2,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,2,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,2,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,2,fixedpred,cosine,5,5,0,0,1,0.99517866615172523,1,0.99999999999999989,0.0039064602368022779
gradient,FashionMNIST,lenet_classic,final,2,fixedpred,norm_ratio,5,5,0,0,1,0.00086940916180010003,1,0.99999999999999989,1.0410022081129031
gradient,FashionMNIST,lenet_classic,final,2,fixedpred,relative_l2,5,5,0,0,1,0,0.99913478887487239,-0.99999999999999989,-1.0410059506993699
gradient,FashionMNIST,lenet_classic,final,2,fixedpred,sign_agreement,5,5,0,0,1,0.95769230769230784,1,0.8999999999999998,0.035516169561925007
gradient,FashionMNIST,lenet_classic,final,2,strict,cosine,5,5,0,0,1,0.83233203589975313,0.99999856095941841,0.29999999999999999,0.052393458577704166
gradient,FashionMNIST,lenet_classic,final,2,strict,norm_ratio,5,5,0,0,1,0.00058620383839250005,0.99841474404377761,0.99999999999999989,0.92448464023414689
gradient,FashionMNIST,lenet_classic,final,2,strict,relative_l2,5,5,0,0,1,0.0023170964957554001,0.99944018318391925,-0.99999999999999989,-0.91066780714456819
gradient,FashionMNIST,lenet_classic,final,2,strict,sign_agreement,5,5,0,0,1,0.82107647547797158,0.999764705882353,0.59999999999999998,0.11160294763493406
gradient,FashionMNIST,lenet_classic,final,3,exact,cosine,5,5,0,0,1,0.99999999999998757,1,-0.46169025843831935,-1.1546319456101628e-15
gradient,FashionMNIST,lenet_classic,final,3,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,3,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,3,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,cosine,5,5,0,0,1,0.99540321804112897,0.99999999999999956,0.99999999999999989,0.0037172412020503474
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,norm_ratio,5,5,0,0,1,0.00088815049804570004,1,0.99999999999999989,1.0409941477491917
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,relative_l2,5,5,0,0,1,0,0.99911593320149683,-0.99999999999999989,-1.0409977203374583
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,sign_agreement,5,5,0,0,1,0.96538461538461562,1,0.99999999999999989,0.02928496949568573
gradient,FashionMNIST,lenet_classic,final,3,strict,cosine,5,5,0,0,1,0.84170374201649778,0.99999870431314575,0.29999999999999999,0.062860657091883931
gradient,FashionMNIST,lenet_classic,final,3,strict,norm_ratio,5,5,0,0,1,0.00065764783797340001,0.99844502001267565,0.99999999999999989,0.92402674566233611
gradient,FashionMNIST,lenet_classic,final,3,strict,relative_l2,5,5,0,0,1,0.0022534148507963999,0.99937439874566281,-0.99999999999999989,-0.91235235308882623
gradient,FashionMNIST,lenet_classic,final,3,strict,sign_agreement,5,5,0,0,1,0.82255610972568571,0.99929411764705878,0.29999999999999999,0.09201984482682142
gradient,FashionMNIST,lenet_classic,final,4,exact,cosine,5,5,0,0,1,0.99999999999998923,1,-0.22360679774997894,-1.1102230246251565e-15
gradient,FashionMNIST,lenet_classic,final,4,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,4,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,4,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,cosine,5,5,0,0,1,0.99665622619165362,1,0.99999999999999989,0.0026930383686697645
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,norm_ratio,5,5,0,0,1,0.00087872328750500004,1,0.99999999999999989,1.0409971061178465
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,relative_l2,5,5,0,0,1,0,0.99912421512549443,-0.99999999999999989,-1.0409995834887422
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,sign_agreement,5,5,0,0,1,0.96410256410256423,1,0.99999999999999989,0.029812292864670863
gradient,FashionMNIST,lenet_classic,final,4,strict,cosine,5,5,0,0,1,0.83616618788823893,0.99999880656199136,0.69999999999999996,0.11417877550771979
gradient,FashionMNIST,lenet_classic,final,4,strict,norm_ratio,5,5,0,0,1,0.0005689666828311,0.99853119166194437,0.99999999999999989,0.91886977124697466
gradient,FashionMNIST,lenet_classic,final,4,strict,relative_l2,5,5,0,0,1,0.0021294827684089001,0.99951184152628736,-0.99999999999999989,-0.90487915441325006
gradient,FashionMNIST,lenet_classic,final,4,strict,sign_agreement,5,5,0,0,1,0.82307692307692304,0.999764705882353,0.69999999999999996,0.12764508330380067
gradient,FashionMNIST,lenet_classic,final,5,exact,cosine,5,5,0,0,1,0.99999999999998923,1,-0.22360679774997894,-4.8849813083506892e-16
gradient,FashionMNIST,lenet_classic,final,5,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,5,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,5,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,5,fixedpred,cosine,5,5,0,0,1,0.99749801534176441,1,0.99999999999999989,0.0020282068331901825
gradient,FashionMNIST,lenet_classic,final,5,fixedpred,norm_ratio,5,5,0,0,1,0.00086055764707919998,1,0.99999999999999989,1.041018645300511
gradient,FashionMNIST,lenet_classic,final,5,fixedpred,relative_l2,5,5,0,0,1,0,0.99914159695662597,-0.99999999999999989,-1.0410205653509534
gradient,FashionMNIST,lenet_classic,final,5,fixedpred,sign_agreement,5,5,0,0,1,0.94230769230769218,1,0.99999999999999989,0.047390140463590268
gradient,FashionMNIST,lenet_classic,final,5,strict,cosine,5,5,0,0,1,0.84108963216567822,0.99999873672380724,0.29999999999999999,0.070632060641111272
gradient,FashionMNIST,lenet_classic,final,5,strict,norm_ratio,5,5,0,0,1,0.00052347738466190005,0.99837978054186416,0.99999999999999989,0.91675581678240836
gradient,FashionMNIST,lenet_classic,final,5,strict,relative_l2,5,5,0,0,1,0.0022684990291063998,0.99951002366828345,-0.99999999999999989,-0.90464870273762954
gradient,FashionMNIST,lenet_classic,final,5,strict,sign_agreement,5,5,0,0,1,0.81602660016625095,0.999529411764706,0.69999999999999996,0.13585124410124952
gradient,FashionMNIST,lenet_classic,final,6,exact,cosine,5,5,0,0,1,0.99999999999998757,1,-0.22360679774997894,-9.7699626167013783e-16
gradient,FashionMNIST,lenet_classic,final,6,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,6,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,6,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,6,fixedpred,cosine,5,5,0,0,1,0.98634004722114643,1,0.99999999999999989,0.01096144554048375
gradient,FashionMNIST,lenet_classic,final,6,fixedpred,norm_ratio,5,5,0,0,1,0.00093051870381409996,1,0.99999999999999989,1.0409528255143885
gradient,FashionMNIST,lenet_classic,final,6,fixedpred,relative_l2,5,5,0,0,1,0,0.99908239970027157,-0.99999999999999989,-1.0409634065828652
gradient,FashionMNIST,lenet_classic,final,6,fixedpred,sign_agreement,5,5,0,0,1,0.93717948717948718,1,0.99999999999999989,0.051905797393455397
gradient,FashionMNIST,lenet_classic,final,6,strict,cosine,5,5,0,0,1,0.83885630752987095,0.99999883815269885,0.69999999999999996,0.15246058222048836
gradient,FashionMNIST,lenet_classic,final,6,strict,norm_ratio,5,5,0,0,1,0.00049369574005649996,0.99845174234025558,0.99999999999999989,0.92238831755983419
gradient,FashionMNIST,lenet_classic,final,6,strict,relative_l2,5,5,0,0,1,0.0021645447287875,0.99957407647390317,-0.99999999999999989,-0.90852230796377031
gradient,FashionMNIST,lenet_classic,final,6,strict,sign_agreement,5,5,0,0,1,0.81601828761429762,1,0.69999999999999996,0.14485334152101165
gradient,FashionMNIST,lenet_classic,final,7,exact,cosine,5,5,0,0,1,0.99999999999998923,1,0.051298917604257706,-1.3322676295501878e-16
gradient,FashionMNIST,lenet_classic,final,7,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,7,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,7,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,7,fixedpred,cosine,5,5,0,0,1,0.99569044538112317,1,0.99999999999999989,0.0034694375601345582
gradient,FashionMNIST,lenet_classic,final,7,fixedpred,norm_ratio,5,5,0,0,1,0.00087052687950290003,1,0.99999999999999989,1.0410061667017902
gradient,FashionMNIST,lenet_classic,final,7,fixedpred,relative_l2,5,5,0,0,1,0,0.99913321766054042,-0.99999999999999989,-1.041009322186212
gradient,FashionMNIST,lenet_classic,final,7,fixedpred,sign_agreement,5,5,0,0,1,0.95897435897435923,1,0.8999999999999998,0.034000081796589712
gradient,FashionMNIST,lenet_classic,final,7,strict,cosine,5,5,0,0,1,0.85060049517189551,0.99999845001077403,0.49999999999999994,0.089999240872213143
gradient,FashionMNIST,lenet_classic,final,7,strict,norm_ratio,5,5,0,0,1,0.00054931899798069995,0.99839604867750475,0.99999999999999989,0.92135134766040705
gradient,FashionMNIST,lenet_classic,final,7,strict,relative_l2,5,5,0,0,1,0.0023636297636862001,0.99950719445382563,-0.99999999999999989,-0.90713303589358352
gradient,FashionMNIST,lenet_classic,final,7,strict,sign_agreement,5,5,0,0,1,0.8187489609310058,0.99905882352941178,0.19999999999999998,0.097434387248666307
gradient,FashionMNIST,lenet_classic,final,8,exact,cosine,5,5,0,0,1,0.99999999999998757,1,-0.22360679774997894,-6.2172489379008762e-16
gradient,FashionMNIST,lenet_classic,final,8,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,8,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,8,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,8,fixedpred,cosine,5,5,0,0,1,0.99881255455640061,1,0.99999999999999989,0.00096475111210097002
gradient,FashionMNIST,lenet_classic,final,8,fixedpred,norm_ratio,5,5,0,0,1,0.00087806376858290001,1,0.99999999999999989,1.0409991422255362
gradient,FashionMNIST,lenet_classic,final,8,fixedpred,relative_l2,5,5,0,0,1,0,0.99912297366983904,-0.99999999999999989,-1.0410000713235856
gradient,FashionMNIST,lenet_classic,final,8,fixedpred,sign_agreement,5,5,0,0,1,0.97692307692307701,1,0.99999999999999989,0.019499157274593681
gradient,FashionMNIST,lenet_classic,final,8,strict,cosine,5,5,0,0,1,0.86227707706262213,0.99999872380341615,0.59999999999999998,0.085339266208770276
gradient,FashionMNIST,lenet_classic,final,8,strict,norm_ratio,5,5,0,0,1,0.0005447500964835,0.99851338611629081,0.99999999999999989,0.91421163867434374
gradient,FashionMNIST,lenet_classic,final,8,strict,relative_l2,5,5,0,0,1,0.0021863571995517999,0.99948531957324083,-0.99999999999999989,-0.90116844158885478
gradient,FashionMNIST,lenet_classic,final,8,strict,sign_agreement,5,5,0,0,1,0.82842892768079801,0.999529411764706,0.49999999999999994,0.13188799683276448
gradient,FashionMNIST,lenet_classic,final,9,exact,cosine,5,5,0,0,1,0.99999999999998901,1,-0.56428809364683474,-9.7699626167013783e-16
gradient,FashionMNIST,lenet_classic,final,9,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,9,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,9,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,9,fixedpred,cosine,5,5,0,0,1,0.993254969808951,0.99999999999999956,0.99999999999999989,0.0054208382411959468
gradient,FashionMNIST,lenet_classic,final,9,fixedpred,norm_ratio,5,5,0,0,1,0.00086591054429189997,1,0.99999999999999989,1.0410088019263912
gradient,FashionMNIST,lenet_classic,final,9,fixedpred,relative_l2,5,5,0,0,1,0,0.99913985984231479,-0.99999999999999989,-1.0410135966703173
gradient,FashionMNIST,lenet_classic,final,9,fixedpred,sign_agreement,5,5,0,0,1,0.94102564102564101,1,0.99999999999999989,0.048920341147914971
gradient,FashionMNIST,lenet_classic,final,9,strict,cosine,5,5,0,0,1,0.82752834916786411,0.99999880948142117,0.69999999999999996,0.087510615754827367
gradient,FashionMNIST,lenet_classic,final,9,strict,norm_ratio,5,5,0,0,1,0.00066461644160220005,0.99849379294455398,0.99999999999999989,0.92796796638904322
gradient,FashionMNIST,lenet_classic,final,9,strict,relative_l2,5,5,0,0,1,0.0021616078699681,0.9994025374978116,-0.99999999999999989,-0.91551303816678808
gradient,FashionMNIST,lenet_classic,final,9,strict,sign_agreement,5,5,0,0,1,0.82044056525353282,0.99835294117647055,0.59999999999999998,0.1133091319418265
representation,FashionMNIST,lenet_classic,,0,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,0,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,0,fixedpred,cka,5,5,0,0,1,0.99076698182797085,0.99711363823691401,-0.099999999999999992,-0.00063820256371323043
representation,FashionMNIST,lenet_classic,,0,fixedpred,rsa_spearman,5,5,0,0,1,0.98084411870822685,0.99316650071977119,0.8999999999999998,0.010215394319520409
representation,FashionMNIST,lenet_classic,,0,strict,cka,5,5,0,0,1,0.9589131861596788,0.98607990011853197,-0.49999999999999994,-0.013957059913420888
representation,FashionMNIST,lenet_classic,,0,strict,rsa_spearman,5,5,0,0,1,0.93345474956576635,0.96516404582391602,0.59999999999999998,0.021549710873660068
representation,FashionMNIST,lenet_classic,,1,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,1,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,1,fixedpred,cka,5,5,0,0,1,0.98778847441776396,0.99475851738056265,-0.099999999999999992,-4.4690892757071056e-05
representation,FashionMNIST,lenet_classic,,1,fixedpred,rsa_spearman,5,5,0,0,1,0.98291220873759999,0.99422555231924581,0.69999999999999996,0.0084385262596636586
representation,FashionMNIST,lenet_classic,,1,strict,cka,5,5,0,0,1,0.95591163829247638,0.98584415552576998,-0.099999999999999992,-0.0079553930979268991
representation,FashionMNIST,lenet_classic,,1,strict,rsa_spearman,5,5,0,0,1,0.90415484297593762,0.97574363862038205,0.8999999999999998,0.078854116161047427
representation,FashionMNIST,lenet_classic,,2,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,2,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,2,fixedpred,cka,5,5,0,0,1,0.98163098337045196,0.99089575016180598,0.8999999999999998,0.0093581074035347551
representation,FashionMNIST,lenet_classic,,2,fixedpred,rsa_spearman,5,5,0,0,1,0.9738932379201436,0.99221965657275024,0.59999999999999998,0.0103370603389219
representation,FashionMNIST,lenet_classic,,2,strict,cka,5,5,0,0,1,0.95275040748707085,0.97503709209461864,0.79999999999999993,0.020559349584379261
representation,FashionMNIST,lenet_classic,,2,strict,rsa_spearman,5,5,0,0,1,0.92364431657424262,0.97873895622882923,0.8999999999999998,0.051529795060975346
representation,FashionMNIST,lenet_classic,,3,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,3,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,3,fixedpred,cka,5,5,0,0,1,0.98949334277054701,0.9977754299057866,-0.099999999999999992,-0.0011052856871379469
representation,FashionMNIST,lenet_classic,,3,fixedpred,rsa_spearman,5,5,0,0,1,0.98221451664645965,0.99395439537094521,0.69999999999999996,0.0075292445034349067
representation,FashionMNIST,lenet_classic,,3,strict,cka,5,5,0,0,1,0.971066443837454,0.98728546070361156,-0.099999999999999992,-0.0025830380639957793
representation,FashionMNIST,lenet_classic,,3,strict,rsa_spearman,5,5,0,0,1,0.93719445075369245,0.97651884676076239,0.8999999999999998,0.031824381426619655
representation,FashionMNIST,lenet_classic,,4,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,4,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,4,fixedpred,cka,5,5,0,0,1,0.98845057300655115,0.99528912164360361,-0.59999999999999998,-0.0022225500129958941
representation,FashionMNIST,lenet_classic,,4,fixedpred,rsa_spearman,5,5,0,0,1,0.9791977781496336,0.99577971851080316,-0.099999999999999992,0.0010388968934958332
representation,FashionMNIST,lenet_classic,,4,strict,cka,5,5,0,0,1,0.97048722985375357,0.98884070038979277,-0.59999999999999998,-0.013073828872890169
representation,FashionMNIST,lenet_classic,,4,strict,rsa_spearman,5,5,0,0,1,0.91909632991400037,0.98426511806025518,0,0.010045916321364956
representation,FashionMNIST,lenet_classic,,5,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,5,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,5,fixedpred,cka,5,5,0,0,1,0.99049269396744521,0.9953755629189992,0.19999999999999998,0.0019118332885962098
representation,FashionMNIST,lenet_classic,,5,fixedpred,rsa_spearman,5,5,0,0,1,0.98670475831204119,0.99457101804052761,0.19999999999999998,0.001701476357394549
representation,FashionMNIST,lenet_classic,,5,strict,cka,5,5,0,0,1,0.95674000244668844,0.98626680720460158,-0.69999999999999996,-0.01824006216565479
representation,FashionMNIST,lenet_classic,,5,strict,rsa_spearman,5,5,0,0,1,0.94177164735775742,0.96920004826023276,0.099999999999999992,-0.00034198418652438002
representation,FashionMNIST,lenet_classic,,6,exact,cka,5,5,0,0,1,1,1.0000000000000004,0,0
representation,FashionMNIST,lenet_classic,,6,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,6,fixedpred,cka,5,5,0,0,1,0.98844215798083723,0.99885092952461441,-0.59999999999999998,-0.00410587914403715
representation,FashionMNIST,lenet_classic,,6,fixedpred,rsa_spearman,5,5,0,0,1,0.98339670618529362,0.99458115432084482,0.49999999999999994,0.0044629762303215696
representation,FashionMNIST,lenet_classic,,6,strict,cka,5,5,0,0,1,0.95909320916627716,0.98196182264109322,-0.099999999999999992,-0.00067204548716741645
representation,FashionMNIST,lenet_classic,,6,strict,rsa_spearman,5,5,0,0,1,0.93968305127400997,0.98222549195162556,0.29999999999999999,0.012494001269392818
representation,FashionMNIST,lenet_classic,,7,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,7,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,7,fixedpred,cka,5,5,0,0,1,0.98557861406596836,0.9937540696581908,0,0.0013269165192819621
representation,FashionMNIST,lenet_classic,,7,fixedpred,rsa_spearman,5,5,0,0,1,0.97604780490060516,0.99230467598852201,0.69999999999999996,0.011951724588654677
representation,FashionMNIST,lenet_classic,,7,strict,cka,5,5,0,0,1,0.95728194308983883,0.97463828386688478,0.099999999999999992,0.0039611590927897565
representation,FashionMNIST,lenet_classic,,7,strict,rsa_spearman,5,5,0,0,1,0.9027648897244156,0.97146982649718316,0.99999999999999989,0.067365261394310538
representation,FashionMNIST,lenet_classic,,8,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,8,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,8,fixedpred,cka,5,5,0,0,1,0.9731313707134992,0.99298838100753517,0.8999999999999998,0.016627839940989909
representation,FashionMNIST,lenet_classic,,8,fixedpred,rsa_spearman,5,5,0,0,1,0.96591925455924399,0.99197193374529802,0.99999999999999989,0.026022954463659164
representation,FashionMNIST,lenet_classic,,8,strict,cka,5,5,0,0,1,0.95261503918735879,0.97137271694419836,0.19999999999999998,0.0071164266971276199
representation,FashionMNIST,lenet_classic,,8,strict,rsa_spearman,5,5,0,0,1,0.91721800177967661,0.96461930850195565,0.69999999999999996,0.030714271262222502
representation,FashionMNIST,lenet_classic,,9,exact,cka,5,5,0,0,1,1,1,,0
representation,FashionMNIST,lenet_classic,,9,exact,rsa_spearman,5,5,0,0,1,0.99999999999999956,0.99999999999999956,,0
representation,FashionMNIST,lenet_classic,,9,fixedpred,cka,5,5,0,0,1,0.99368920400319405,0.99872253299231284,-0.59999999999999998,-0.0037866524278601598
representation,FashionMNIST,lenet_classic,,9,fixedpred,rsa_spearman,5,5,0,0,1,0.99146627674332399,0.99663815616546203,-0.49999999999999994,-0.0017553988007939392
representation,FashionMNIST,lenet_classic,,9,strict,cka,5,5,0,0,1,0.96799490747224637,0.99242361220592401,-0.8999999999999998,-0.026794318491370595
representation,FashionMNIST,lenet_classic,,9,strict,rsa_spearman,5,5,0,0,1,0.9482376031974632,0.98895149803432481,-0.29999999999999999,-0.018558867565399373
