model_seed,batch_index,parameter,cosine,relative_l2,max_abs
0,0,0.0.bias,1.0000000000000002,8.550930902839508e-14,1.493596912816031e-15
0,0,0.0.weight,0.9999999999999998,1.76381121814023e-13,1.1280039402539188e-15
0,0,1.0.bias,1.0,3.95478271915867e-14,5.204170427930421e-16
0,0,1.0.weight,0.9999999999999999,3.913991858779558e-14,2.6020852139652106e-16
0,0,3.0.bias,1.0,6.929561614118682e-15,1.0495077029659683e-16
0,0,3.0.weight,0.9999999999999973,6.474939809989638e-15,3.491130995403324e-17
0,0,4.0.bias,1.0000000000000002,2.9328673395712785e-15,1.491862189340054e-16
0,0,4.0.weight,1.0,2.6453871640818155e-15,2.667137344314341e-17
0,0,5.bias,1.0000000000000002,0.0,0.0
0,0,5.weight,1.0,0.0,0.0
0,1,0.0.bias,1.0000000000000002,2.582515643457283e-13,2.3030622547937085e-15
0,1,0.0.weight,1.0000000000000002,2.211171560280513e-13,7.928770487386494e-16
0,1,1.0.bias,0.9999999999999999,5.0992290186348014e-14,6.162605148407607e-16
0,1,1.0.weight,0.9999999999999998,4.2435929369837475e-14,2.441623292437356e-16
0,1,3.0.bias,1.0000000000000002,8.243760148528236e-15,1.465841337200402e-16
0,1,3.0.weight,1.000000000000002,6.787162305485331e-15,5.0523821237824507e-17
0,1,4.0.bias,1.0,2.598718019994653e-15,4.85722573273506e-17
0,1,4.0.weight,0.9999999999999994,2.2565482373779102e-15,1.214306433183765e-17
0,1,5.bias,1.0,0.0,0.0
0,1,5.weight,0.9999999999999999,0.0,0.0
0,2,0.0.bias,1.0,1.2057929999967224e-13,1.186550857568136e-15
0,2,0.0.weight,1.0,1.781347814610035e-13,1.1084883011491797e-15
0,2,1.0.bias,1.0,5.715129890797953e-14,6.678685382510707e-16
0,2,1.0.weight,0.9999999999999998,5.049751562127969e-14,2.710505431213761e-16
0,2,3.0.bias,0.9999999999999999,1.146975171063451e-14,1.704365815147213e-16
0,2,3.0.weight,1.000000000000001,9.050428475445071e-15,5.4643789493269423e-17
0,2,4.0.bias,1.0000000000000002,3.9146234488248346e-15,8.955509944730267e-17
0,2,4.0.weight,1.000000000000001,2.9385235146521017e-15,1.6032639625629397e-17
0,2,5.bias,1.0,0.0,0.0
0,2,5.weight,0.9999999999999999,0.0,0.0
1,0,0.0.bias,1.0,1.698451598735078e-13,2.005340338229189e-15
1,0,0.0.weight,1.0000000000000002,1.478123101463753e-13,8.005748841632965e-16
1,0,1.0.bias,1.0,2.3512286863105626e-14,3.367531947739977e-16
1,0,1.0.weight,0.9999999999999994,2.1820325619785578e-14,1.5092094240998222e-16
1,0,3.0.bias,1.0,5.982350525164382e-15,1.0842021724855044e-16
1,0,3.0.weight,1.0000000000000013,5.4786268335708675e-15,3.458604930228759e-17
1,0,4.0.bias,0.9999999999999999,2.2796855001313593e-15,7.632783294297951e-17
1,0,4.0.weight,0.9999999999999996,2.1459165631019413e-15,1.1817803680091998e-17
1,0,5.bias,1.0000000000000002,0.0,0.0
1,0,5.weight,1.0,0.0,0.0
1,1,0.0.bias,1.0,2.675921412931645e-13,2.966160303485843e-15
1,1,0.0.weight,1.0,2.689805350765469e-13,1.5599500857721438e-15
1,1,1.0.bias,1.0000000000000002,3.360863047151658e-14,4.956972332603726e-16
1,1,1.0.weight,1.0,2.410269217155309e-14,1.6566609195578508e-16
1,1,3.0.bias,1.0,8.716017785462584e-15,1.474514954580286e-16
1,1,3.0.weight,0.9999999999999982,6.316464770934572e-15,4.7691343062206126e-17
1,1,4.0.bias,1.0000000000000004,3.5380918114371215e-15,1.48318857196017e-16
1,1,4.0.weight,1.0000000000000007,2.5686400645916385e-15,2.1141942363467336e-17
1,1,5.bias,0.9999999999999998,0.0,0.0
1,1,5.weight,0.9999999999999999,0.0,0.0
1,2,0.0.bias,1.0,1.1892128045048911e-13,9.441232518003773e-16
1,2,0.0.weight,1.0,1.36380461532323e-13,1.1440501324067043e-15
1,2,1.0.bias,1.0,6.546212883094597e-14,7.914675859144182e-16
1,2,1.0.weight,0.9999999999999996,3.7590280205781985e-14,2.45029690981724e-16
1,2,3.0.bias,1.0000000000000002,1.0682278954684701e-14,1.0668549377257364e-16
1,2,3.0.weight,1.0000000000000024,7.798672193516907e-15,3.469446951953614e-17
1,2,4.0.bias,1.0,4.516402369568464e-15,1.1622647289044608e-16
1,2,4.0.weight,0.9999999999999983,3.363856534443331e-15,1.9081958235744878e-17
1,2,5.bias,1.0,0.0,0.0
1,2,5.weight,1.0000000000000007,0.0,0.0
2,0,0.0.bias,1.0000000000000002,2.595557855544823e-13,1.5742615544489524e-15
2,0,0.0.weight,1.0,1.784357877038813e-13,9.217886870471759e-16
2,0,1.0.bias,1.0,2.1028340157070182e-14,2.2898349882893854e-16
2,0,1.0.weight,0.9999999999999997,2.0390111297383182e-14,1.22514845490862e-16
2,0,3.0.bias,0.9999999999999999,6.412035289366632e-15,8.711564455921028e-17
2,0,3.0.weight,1.000000000000001,5.527223684627544e-15,2.2985086056692694e-17
2,0,4.0.bias,1.0,3.184512858648089e-15,1.0928757898653885e-16
2,0,4.0.weight,1.0000000000000004,2.5960804621329814e-15,1.8756697583999227e-17
2,0,5.bias,1.0000000000000002,0.0,0.0
2,0,5.weight,1.0000000000000002,0.0,0.0
2,1,0.0.bias,0.9999999999999999,1.988031324444115e-13,1.35828848168984e-15
2,1,0.0.weight,0.9999999999999999,1.7563833635447932e-13,8.461113754076877e-16
2,1,1.0.bias,0.9999999999999999,5.606615794548694e-14,8.144526719711109e-16
2,1,1.0.weight,0.9999999999999994,3.0231325302773375e-14,2.259477327459791e-16
2,1,3.0.bias,1.0,5.799199511538132e-15,6.331740687315346e-17
2,1,3.0.weight,0.9999999999999974,4.606840300388065e-15,2.677979366039196e-17
2,1,4.0.bias,1.0000000000000002,2.873817670431138e-15,8.586881206085195e-17
2,1,4.0.weight,1.0000000000000004,2.239105948391382e-15,1.1438332919722072e-17
2,1,5.bias,0.9999999999999999,0.0,0.0
2,1,5.weight,1.0000000000000002,0.0,0.0
2,2,0.0.bias,0.9999999999999998,6.458123785586314e-14,5.895891413976173e-16
2,2,0.0.weight,1.0,1.585877037131399e-13,7.32920668600201e-16
2,2,1.0.bias,1.0,5.226851768967365e-14,5.421010862427522e-16
2,2,1.0.weight,1.0000000000000004,3.1086931241301084e-14,1.8009275711342032e-16
2,2,3.0.bias,1.0000000000000004,7.075839510695704e-15,8.565197162635485e-17
2,2,3.0.weight,1.0000000000000022,5.570937559428194e-15,2.0450763478507827e-17
2,2,4.0.bias,0.9999999999999999,3.791206103488929e-15,9.454242944073599e-17
2,2,4.0.weight,0.9999999999999999,2.8698313984999613e-15,1.6159694567717542e-17
2,2,5.bias,0.9999999999999998,0.0,0.0
2,2,5.weight,1.0000000000000004,0.0,0.0
